"Tabela 1.1 (UF) - Distribuição da população, por cor ou raça, com indicação do coeficiente de variação, segundo Grandes Regiões e Unidades da Federação - 2018",,,,,,,,,,
"Grandes Regiões e Unidades da Federação","Total (1 000 pessoas)",,"Distribuição percentual por cor ou raça",,,,,,,
,,,Branca,,Preta,,Parda,,"Amarela ou indígena",
,Total,"CV (%)",Total,"CV (%)",Total,"CV (%)",Total,"CV (%)",Total,"CV (%)"
"Minas Gerais",21030.10399999998,-,39.747470745339896,1.8016049723405365,11.776008886606155,3.5187610370986744,48.18599041461261,1.3366799801609728,0.27887383747976446,15.148539190312702
"Espírito Santo",3968.7340000000604,-,37.061013289367146,2.8056097599303027,11.040549598714342,4.234268081746699,51.10267279413524,1.9220156578291954,0.7734707940385416,10.579811730196084
"Rio de Janeiro",17159.43500000022,-,45.20096201991316,1.5706740668014179,13.378883181950453,2.824267259162064,40.82782451682192,1.531079373208131,0.5618491718380779,10.238355191050797
"São Paulo",45532.65299999972,-,59.05200456974571,1.29189308065284,7.585709203372363,3.8085720205989735,31.612985892466472,2.1924605774067234,1.7302555407026834,9.603854470821037
Sul,29710.32099999956,-,73.90288790614723,0.5717448576989109,4.750491422879251,3.6684389389940333,20.605145158155246,1.7517835008453626,0.7359581822457513,7.591001372891889
Paraná,11335.546999999686,-,65.4647019842141,1.0971040020733387,4.077917630659036,6.3567964972890145,29.259317403817832,2.287148486286163,1.1971945362142433,9.959117959166788
"Santa Catarina",7063.80399999986,-,79.90215422176463,0.7216577355450419,3.020701129966413,6.3640712239979695,16.536567725894226,3.2398448861764613,0.5187646860550198,15.193663260991585
"Rio Grande do Sul",11310.970000000016,-,78.61281214036303,0.9721486694734135,6.504796440302052,5.492172568924234,14.473032466097159,4.0122294088771415,0.40935895323600374,16.982863310209662
Centro-Oeste,15963.500000000113,-,36.509858959591426,1.3414150951733619,9.193045017001992,3.011556894550524,52.96606819683902,0.8989373654139117,1.3112771330695554,9.819450010102953
"Mato Grosso do Sul",2679.1119999999564,-,44.04086203369407,2.497253313112398,6.402714798832228,6.5296149156375005,47.2832761087099,2.2338831450932903,2.2624505245406197,14.45875804986393
"Mato Grosso",3388.9189999999753,-,31.00216678302682,2.957868422432757,10.196309782396257,4.664791592991109,57.62908895914653,1.5681740151627968,1.1543780784279458,30.013639623102133
Goiás,6923.260000000146,-,35.845579721120366,2.169914870441453,9.209730678032843,5.430313775737874,53.98941133502878,1.3978918893541754,0.9516101765134597,14.380795767025392
"Distrito Federal",2972.209000000036,-,37.54871586231369,3.3267731544566734,10.525422711974839,6.141382593732815,50.387974328988406,2.4150710138832743,1.4705815406104692,24.858496438286085
,,,,,,,,,,
"Fonte: IBGE. Pesquisa Nacional por Amostra de Domicílios Contínua, 2018, consolidado de primeiras entrevistas.",,,,,,,,,,
"Nota: Indígenas, amarelos e pessoas sem declaração de cor ou raça constam no total.",,,,,,,,,,
