"Tabela 3.4 - Rendimento mensal real domiciliar per capita, por sexo e cor ou raça, e razão de rendimentos, com indicação do coeficiente de variação, segundo as Grandes Regiões, as Unidades da Federação e os Municípios das Capitais - 2018",,,,,,,,,,,,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Municípios das Capitais","Rendimento mensal efetivo domiciliar per capita médio das pessoas residentes em arranjos domiciliares (R$)",,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,Homens,,,,,,Mulheres,,,,,,"Preta ou parda / Branca (B/A)",,"Homens pretos ou pardos /
Homens brancos (D/C)",,"Mulheres brancas /
Homens brancos (D/C)",,"Mulheres pretas ou pardas
/ Homens brancos (F/C)",
,Total,,"Cor ou raça",,,,Total,,"Cor ou raça",,,,"Total ",,"Cor ou raça",,,,,,,,,,,
,,,"Branca (A)",,"Preta ou parda (B)",,,,"Branca (C)",,"Preta ou parda (D)",,,,"Branca (E)",,"Preta ou parda (F)",,,,,,,,,
,Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)"
Manaus,1068.1335181821469,7.985921846627535,1705.1112890514917,13.76794315358128,896.248482826894,26.1934895824252,1077.2163874268704,8.061639864466443,1774.2771889724208,13.395862955903834,913.3470114803869,6.788280538593379,1059.5471944714436,8.192114664848214,1650.6543322003565,14.638104293312889,879.2529131792769,6.446117993492684,52.56246255489009,28.489536005936262,51.47713204887423,12.347973124019296,93.03249472289833,5.951591976045932,49.55555527873858,12.560534714798157
Roraima,1195.5936421821623,8.807828867332406,1807.0032402417605,13.323279986095905,1054.761900436833,22.8252557241143,1172.2593535820474,8.193988027632566,1683.128348709833,12.750897831044783,1060.146776360412,6.936521344189571,1219.4945872310261,9.795719946511005,1933.3061378837929,14.737958819639921,1049.1986108591109,7.726282355056381,58.370780801461954,24.16393247842208,62.98668649797536,10.437077178111911,114.86385689871652,7.729402891751863,62.336221219454366,9.256783806655184
"Boa Vista",1423.9755785137922,10.325541514725636,2107.1494829937446,13.743116592670907,1224.3251108992288,23.652868641810272,1406.8107260105191,9.791880679115508,1993.3139658356483,13.397392595170574,1232.2755555373262,8.524227493817136,1440.5252402464025,11.25785809123894,2216.6004082923846,15.083462892709685,1216.5259213384156,9.21341336900382,58.10338188061351,24.436133902739492,61.820444579122025,10.626454385655315,111.20176983073155,8.28393692082431,61.03032147413951,9.405432404619111
Pará,844.9685145987612,4.489437354178827,1316.7488992867713,8.990733709365777,742.0421141459803,15.95399841855726,846.9342654632136,4.651555871751781,1280.2440680111154,9.922678591611819,753.3960831252363,3.6801504056719168,843.0225185293509,4.526662340939247,1349.595165917498,9.539465917642625,730.5547950098728,3.400308541859908,56.3541093178748,17.515312140631114,58.84784799633182,9.207885149319432,105.41702161636421,7.394040480805386,57.0637125579347,9.180915976962439
Belém,1672.467425335368,11.28753292655432,2686.4400208620223,15.34250398416428,1329.1041099716535,31.010901564492944,1719.3305534163728,11.99795231083475,2725.8057287513143,17.265202384334845,1390.065430170324,9.977095486321476,1631.9111607806756,11.013582144893974,2656.7562113236486,15.989147421557426,1273.7415350868168,8.879961526393709,49.47454994901289,32.316483984218365,50.99649676087187,15.405890879003076,97.46682176578678,12.57000475768767,46.728991785864174,15.773075849462634
Amapá,846.2500797946407,6.338079128975864,1144.4791860814237,8.733820233328146,786.2512859481332,12.713079966498464,846.6317986818681,6.292518998148562,1070.0706172450837,8.45293729999462,808.8457982296973,6.994269071234202,845.8792005338913,6.714574132684181,1202.3734209400764,10.449123248322998,763.1395246874416,6.922343612241468,68.69948318065747,13.928688298177308,75.5880766366696,9.71295572455288,112.3639320211977,8.55186714927624,71.31674418387061,9.242576359948805
Macapá,1027.9170015975042,8.419712916971255,1274.8021521689705,10.335554009621283,970.2494779564254,13.57979240872684,1011.8303610049966,8.337200807384864,1188.8245445708471,10.113818784711539,980.9659450054504,9.481326281271707,1044.0175164461507,8.849522487813024,1339.0471948583008,12.033073782027465,958.6273075104625,9.47241914239116,76.10980859309235,14.772629438890696,82.51562011277018,12.124825021618111,112.63623391470962,9.52841943370211,80.63656759850267,11.933262920769577
Tocantins,1024.712911674159,5.671708159832776,1526.0688478072773,8.371543717277948,877.1157343151231,14.565412037637342,1047.5582905610986,5.676236884291877,1509.5721444059618,8.195012958539898,912.23547380595,5.484598363900068,1000.9675185980767,6.1074702144466615,1543.2568961813647,10.22138257627131,840.6438298571265,4.599402356270977,57.475502207872296,15.369490786699586,60.430068028641834,7.683810426789937,102.23141052915085,7.910143550732923,55.68755577348917,6.868459470269084
Palmas,1508.0833657820228,15.410991117478204,2119.022913238063,13.655845979878976,1231.5956284679055,23.495577494872148,1557.620557573939,15.350320654759312,2102.6397216678424,13.432746852746272,1301.7973141651673,16.374660900858455,1456.9461462664044,15.871759649395303,2137.5373118814286,15.504081272809426,1160.3620532199618,13.563625461313844,58.12092076842686,20.79126151393726,61.91252361258371,12.654842208334285,101.6597037454379,9.518813934333535,55.1859665382687,10.37804285676851
Nordeste,815.3288722695713,1.6822647050476727,1119.9634086385088,2.8477409306498154,714.353213797326,4.464689985303045,812.155084529609,1.6835168470082171,1111.8630053270313,3.1132639675527383,716.2462042752451,1.409699231503634,818.2731120064166,1.7652737157018266,1127.0758803827962,2.8713768539982834,712.5613125591883,1.5727136029449897,63.78362081183835,4.917166996267247,64.41856603229425,2.8836863686718637,101.36823286527917,1.8020691282076216,64.08715004863421,2.7284802884909185
Maranhão,606.7290514822869,2.8980442816740584,808.6347987405424,5.385684388917264,560.8539037553003,7.7650378873217125,600.5065063965527,2.696894514891148,766.6821867149589,5.282301349940859,563.5069664465873,2.7289325564877442,612.7227041817277,3.359852669688542,845.838271439058,7.0363830592659795,558.238153534847,2.546947913732236,69.35812119745978,8.61788586797422,73.49942077838973,5.41571407582218,110.3244976987483,6.655192114495286,72.81219822345915,5.08776232848959
"São Luís",1043.391742331518,8.96672018521633,1564.222709697131,12.917554704111575,905.9226945984823,22.304256800721703,1029.3862100516849,7.961646475416155,1482.4251166414285,13.037618377381044,923.814289000322,8.133996928919727,1055.5018289512507,10.293974803351608,1623.961782523149,16.09611959163316,889.6663226416669,7.600123690414029,57.91519896638564,22.947760275986678,62.31777097067195,13.415121507737036,109.54764353982243,15.47742933850009,60.01425047743986,12.526844058006636
Piauí,806.3779373697187,4.402835923612737,1151.3057586979603,6.881756419700902,722.3993642036797,10.967625649410765,808.3614495460687,4.5609254415561375,1154.4430607868037,7.474451279902568,724.1564419268774,4.112293184182048,804.4678209982895,4.499649265425211,1148.2957197309952,6.859344041079077,720.703768767028,4.212876323163194,62.74609144843145,11.799437597267588,62.72777467546411,6.642455327073309,99.46750591132499,4.004951869073645,62.42869771990631,6.205541560507485
Teresina,1118.8589255397085,8.61292185714769,1737.1184677943859,11.159585103446092,1003.330377502373,19.32117457100862,1150.9082510594035,8.585377439636277,1880.2597149937537,12.201627852364693,1021.9479166809431,7.860161328249961,1090.6174953811665,8.91363325271033,1622.2196843539868,11.262676817018571,986.6008910265334,8.969432689145766,57.75831620605004,20.076438739685088,54.35142329177318,10.564869605474653,86.27636232473213,7.693017264961956,52.47152205405895,9.812287126070853
Ceará,847.9291388162474,4.602356018422226,1223.456089473943,8.03240750296556,696.5345638183021,14.108844532807636,845.6544087774108,4.773300301373378,1225.0414292659045,8.836854777865742,699.1879364520437,3.2844309513984165,850.0273599096333,4.57728709205231,1222.0812417412656,7.626216276870229,694.0233081373414,3.2617365356957055,56.931717436446405,15.45830152340201,57.07463598770093,8.14959364993777,99.75836021101647,3.4200666910671966,56.65304793432405,7.681425355535361
Fortaleza,1441.592172090449,8.646050083958858,2141.691270527366,11.945357057290806,1080.1882702133692,23.684081412843646,1484.1397487333459,9.0459259951991,2223.3271790090057,13.201844730319879,1121.1804443104627,6.949489622783121,1405.720050963,8.540426428676136,2076.1804547186866,11.30269272585592,1044.716738873851,6.997589716961124,50.43622697063081,24.95981999936624,50.42804562890297,12.229377759284004,93.38168823376206,5.223330714550173,46.988888938042315,11.291831361392934
"Rio Grande do Norte",944.177355869946,5.907211883051606,1211.6205867346466,7.6620523560250025,796.0279705508924,11.662279109079464,920.3107651526589,5.856089825349134,1187.6934940584426,9.145998318277845,784.6725847391352,5.516003548758782,966.2277645879585,6.370906585421767,1231.501093125866,7.869675763349536,807.1575429130368,6.259152559135374,65.69944248770247,12.402200293447978,66.06692624524253,9.502064630608643,103.68845996770844,7.255116002838011,67.96008793101286,8.289582340208813
Natal,1433.0731886749359,10.802822919066749,1866.831074575263,11.808382018015559,1129.2764412623274,19.520689253948927,1390.1057714482924,10.499042485690737,1783.3736549997523,13.373084612105183,1147.1271075918248,10.875685210009129,1467.7032199920652,11.728622459035563,1925.6173074189205,12.223563599499935,1113.4475898466394,12.143895478803884,60.49162437041914,19.653016232032975,64.32343016707759,14.42929755055277,107.97609923306779,9.559921295864623,62.43490177871861,13.287175794874893
Paraíba,881.0827219205606,5.947271549940825,1151.4906886154968,9.520988055822226,748.5558012920451,14.645974386646119,868.9327853107122,6.09239804925018,1125.0507512884683,9.699226663819122,747.2800773294299,4.355519173894913,892.3678670120496,6.020910079542893,1174.7436389534416,9.80305860541543,749.7722273657394,4.410548252038447,65.00754271769897,16.144405048285975,66.42189932086218,7.7724510375853875,104.41694631180525,4.297465510584781,66.64341377551725,8.28133960462188
"João Pessoa",1700.9106537470948,13.67279287306616,2327.2982961873136,16.298245147206387,1301.823156435297,29.13673641034346,1709.8263384650031,14.324812043064162,2413.4054843161653,17.204943184694304,1314.1789305425127,11.686562778762267,1693.3646549710777,13.418085322232946,2264.6049460430263,16.071275068241174,1290.3932945990898,11.705882880689188,55.93709919214066,29.52282268685097,54.453300080855804,12.036515795278254,93.83441617083665,6.128127311596502,53.46773689646772,13.516979866553424
Pernambuco,855.0987999748055,4.155389732585666,1107.3126045758233,5.579800342260209,734.8185169411825,8.40831185871678,853.8957705406253,4.22011745043537,1096.3552228308595,6.150473787083181,743.5320887535157,3.7956328044355643,856.1653684184819,4.255910094393562,1116.3252867590147,5.62539116561655,726.8022043201819,3.901882854413768,66.36053034207701,8.796057996338257,67.81853848734065,5.534270876219455,101.82149576271378,3.6289022761620506,66.29258375251152,5.1227182793209955
Recife,1492.792167879104,11.728632970017244,2121.3186101697975,11.391900756501583,1131.690420272087,21.353764816851697,1520.8329725148517,12.147413915680708,2184.832146527861,12.578414878495838,1156.1825945975647,12.964318937767509,1469.5631047047,11.694135959574337,2073.273143095753,11.323076785929596,1110.5172923497319,12.717852015723832,53.34844161771167,20.230205348384885,52.91860047166425,12.778581396167098,94.89393253347184,6.973160055805951,50.82849472507844,11.486413738835042
Alagoas,708.3103011226821,4.861667888119916,1073.0280448050742,7.572280604011228,584.9543265580772,13.890433974644406,708.8787762612363,4.73688812378736,1105.7207509772686,7.892910920020222,578.6825596124723,3.423100060901606,707.784329304926,5.312122884791326,1043.8411276774698,7.92920970710353,590.8174655445695,4.777832085382464,54.51435583534443,14.790152209394595,52.33532599447154,6.939174977358095,94.40368436197767,4.604031285869273,53.43279169016115,6.478414786681415
